id,raw_path,artist,date,venue,city,state,collection,status,ia_identifier,ia_collection,source,notes
jcb1998-11-20,Dave W Flacs/981120_JCB_Acoustic.flac,John Cowan,1998-11-20,,,,Dave Ward Collection,todo,,,,
los1998-12-08,Dave W Flacs/981208_LOS.flac,Leftover Salmon,1998-12-08,,,,Dave Ward Collection,todo,,,,
los1998-12-09,Dave W Flacs/981209_LOS.flac,Leftover Salmon,1998-12-09,,,,Dave Ward Collection,todo,,,,
jcb1999-01-09,"Dave W Flacs/990109_JCB_DJ_Superstore.flac
Dave W Flacs/990109_JCB_Bomhard_Theater.flac",John Cowan,1999-01-09,,,,Dave Ward Collection,todo,,,,multipart raw FLAC
990116_Obrien_Band,Dave W Flacs/990116_Obrien_Band.flac,Obrien Band,1999-01-16,,,,Dave Ward Collection,todo,,,,
jcb1999-01-30,Dave W Flacs/990130_JCB.flac,John Cowan,1999-01-30,,,,Dave Ward Collection,todo,,,,
jcb1999-02-12,Dave W Flacs/990212_JCB.flac,John Cowan,1999-02-12,,,,Dave Ward Collection,todo,,,,
990419_D_Nelson_Band,Dave W Flacs/990419_D_Nelson_Band.flac,D Nelson Band,1999-04-19,,,,Dave Ward Collection,todo,,,,
990501_Fleck_Douglas_980620_D_Trucks_Band,Dave W Flacs/990501_Fleck_Douglas_980620_D_Trucks_Band.flac,Fleck Douglas 980620 D Trucks Band,1999-05-01,,,,Dave Ward Collection,todo,,,,
990507_Cowan_and_Sky_Kings,Dave W Flacs/990507_Cowan_and_Sky_Kings.flac,Cowan and Sky Kings,1999-05-07,,,,Dave Ward Collection,todo,,,,
990528_Cowan_at_Amys,Dave W Flacs/990528_Cowan_at_Amys.flac,Cowan at Amys,1999-05-28,,,,Dave Ward Collection,todo,,,,
jcb1999-05-28,Dave W Flacs/990528_JCB_Strawberry.flac,John Cowan,1999-05-28,,,,Dave Ward Collection,todo,,,,
990530_Douglas,Dave W Flacs/990530_Douglas.flac,Douglas,1999-05-30,,,,Dave Ward Collection,todo,,,,
990707_Obrien,Dave W Flacs/990707_Obrien.flac,Obrien,1999-07-07,,,,Dave Ward Collection,todo,,,,
jcb1999-08-06,Dave W Flacs/990806_JCB.flac,John Cowan,1999-08-06,,,,Dave Ward Collection,todo,,,,
990913_Obrien_Powell_Hermann,Dave W Flacs/990913_Obrien_Powell_Hermann.flac,Obrien Powell Hermann,1999-09-13,,,,Dave Ward Collection,todo,,,,
991006_Bluegrass_Sessions,Dave W Flacs/991006_Bluegrass_Sessions.flac,Bluegrass Sessions,1999-10-06,,,,Dave Ward Collection,todo,,,,
991010_Rowan_Friends,Dave W Flacs/991010_Rowan_Friends.flac,Rowan Friends,1999-10-10,,,,Dave Ward Collection,todo,,,,
jcb1999-10-23,Dave W Flacs/991023_JCB.flac,John Cowan,1999-10-23,,,,Dave Ward Collection,todo,,,,
jcb1999-10-30,Dave W Flacs/991030_JCB.flac,John Cowan,1999-10-30,,,,Dave Ward Collection,todo,,,,
991121_NewGrange,Dave W Flacs/991121_New Grange.flac,New Grange,1999-11-21,,,,Dave Ward Collection,todo,,,,
ymsb1999-12-11,Dave W Flacs/991211_YMSB.flac,Yonder Mountain String Band,1999-12-11,,,,Dave Ward Collection,todo,,,,
991231_Furtado_Rowan,Dave W Flacs/991231_Furtado_Rowan.flac,Furtado Rowan,1999-12-31,,,,Dave Ward Collection,todo,,,,
los1999-12-31,"Dave W Flacs/991231_los.flac
Dave W Flacs/991231_los_II.flac
Dave W Flacs/991231_Bush_Cowan_LOS_Acoustic.flac",Leftover Salmon,1999-12-31,,,,Dave Ward Collection,todo,,,,multipart raw FLAC
jcb2000-01-23,Dave W Flacs/000123_JCB.flac,John Cowan,2000-01-23,,,,Dave Ward Collection,todo,,,,
000215_Rowan__Friends,Dave W Flacs/000215_Rowan_&_Friends.flac,Rowan & Friends,2000-02-15,,,,Dave Ward Collection,todo,,,,
000218_JuniorBrown__Fleck_Flecktones,Dave W Flacs/000218_Junior Brown_+_Fleck_Flecktones.flac,Junior Brown + Fleck Flecktones,2000-02-18,,,,Dave Ward Collection,todo,,,,
